,#,ID1_2,ID2_2,ID3_2,RA_2,Dec_2,z_2,S_NVSS,L_NVSS,S_First,L_First,size_rad,FRclass,g_min_r,concent,mass_2,bk4000,o3lum_1,Mbh/Mstar,R_50_kpc,mu50,sfr_tot_p50,specsfr_tot_p50,o3lum_2,o3redcor,o3sn,o3lumlim,o3
177,,995,52731,526,10.027944,6.818389999999999,0.22665,0.1085,25.19,0.0,0.0,21.0,200,1.04,2.79,11.63,1.75,6.4,0.0007943275370132719,9.228816359076632,797128317.9162471,-0.2934741,-11.95962,6.4,7.53,1.3,6.76,0.0
178,,1227,52733,184,11.899688000000001,9.65829,0.10279,0.672,25.24,0.0025,22.810570508030683,217.09,200,1.04,3.07,11.59,1.99,6.06,0.001096478099832217,9.35297092808668,707817205.8106503,-1.0073809999999999,-12.66737,6.06,7.18,2.28,6.18,0.0
179,,1015,52734,478,11.612079,54.91301,0.05538,0.0418,23.48,0.0,0.0,9.89,200,1.0,3.26,11.12,1.9,5.74,0.002187762392612301,4.431012429025737,1068597320.1979668,-1.015675,-12.16099,5.74,6.72,2.21,5.87,0.0
180,,1291,52735,302,14.994458999999999,41.29955,0.17677,0.1428,25.07,0.0,0.0,18.15,200,1.18,2.83,11.63,2.15,6.71,0.0004168692736211188,15.104291151525304,297590832.97798175,-1.1228280000000002,-12.80824,6.71,7.84,1.84,6.92,0.0
181,,1284,52736,268,13.701941,47.43139,0.17213,0.0671,24.72,0.0029,23.355674777025694,53.07,210,1.09,2.79,11.79,1.97,5.94,0.0012882485332938046,11.796369362121592,705217967.1466261,-0.9499634,-12.790510000000001,5.94,7.11,0.52,6.7,0.0
182,,1166,52751,77,15.538598,49.632290000000005,0.20838,0.0675,24.91,0.0,0.0,16.71,200,1.17,3.06,11.65,2.09,5.98,0.0015488185235137508,12.536056132380114,452374268.6368422,-0.9174475000000001,-12.63636,5.98,7.12,0.88,6.52,0.0
183,,1049,52751,381,14.934692000000002,47.45345,0.08719,0.2114,24.59,0.0,0.0,13.16,200,1.05,3.27,11.68,2.03,6.25,0.0014125363038976315,7.782457643959803,1257728509.5444677,-0.8850984000000001,-12.60235,6.25,7.39,2.41,6.34,0.0
184,,1016,52759,293,11.751812,53.648,0.06901,0.127,24.16,0.0023,22.417923960855877,97.53,210,1.01,3.22,11.46,2.0,6.02,0.001698241862446276,7.042592181163108,925454538.0223348,-1.0005549999999999,-12.50937,6.02,7.1,2.41,6.11,0.0
185,,1336,52759,230,16.239977,38.40092,0.18579,0.0814,24.88,0.0,0.0,10.0,200,1.01,3.06,11.6,1.92,0.0,0.0005495405842387227,14.037778289828625,321531669.25316614,-0.5360147,-12.17121,0.0,1.13,-0.46,6.77,0.0
186,,1239,52760,73,10.524510000000001,8.72337,0.14097,0.3477,25.25,0.0,0.0,51.59,200,1.04,2.92,11.64,1.97,6.15,0.0005370312303176601,12.781547302172074,425259096.09892327,-0.9654507999999999,-12.646230000000001,6.15,7.28,1.6,6.42,0.0
187,,1055,52761,510,16.089845,38.50087,0.28678000000000003,0.045,25.04,0.0,0.0,25.33,200,1.11,2.95,11.8,1.9,0.0,0.001995263191254866,12.43029587119526,649916241.7080387,-0.7321011,-12.593589999999999,0.0,1.17,-0.04,6.6,0.0
188,,1283,52762,116,13.624782000000002,48.30572,0.11919,0.069,24.39,0.0,0.0,40.66,200,1.04,3.04,11.25,1.89,5.36,0.0014125363038976315,4.8817482584039436,1187597765.1241481,-1.1080459999999999,-12.40345,5.36,6.38,0.22,6.49,0.0
189,,1331,52766,532,15.41376,48.60823,0.25969000000000003,0.040999999999999995,24.9,0.0,0.0,9.42,210,1.1,3.15,11.68,1.94,6.37,0.0004570880290185209,13.508751789805407,417436088.9589071,-0.8159757,-12.58511,6.37,7.51,1.2,6.77,0.0
190,,1176,52791,205,16.936992,30.706090000000003,0.2544,0.0688,25.1,0.0,0.0,10.24,210,1.17,3.46,11.59,1.95,0.0,0.0012022642234116696,11.603389194539833,459886398.87252337,-0.4384603,-12.118260000000001,0.0,1.12,-0.2,6.8,0.0
191,,1391,52817,33,16.029045999999997,27.302640000000004,0.16744,0.0402,24.47,0.0,0.0,8.03,210,1.05,3.3,11.46,2.09,6.14,0.002818381693478142,6.697373251240827,1023319295.6704509,-1.059409,-12.58119,6.14,7.23,0.83,6.7,0.0
192,,1347,52823,515,14.207031,41.87192,0.25116,0.0675,25.08,0.0,0.0,26.6,200,1.14,3.26,11.65,1.92,5.37,0.0005888442760205689,12.592960834909166,448295154.61064035,-0.7702855,-12.47255,5.37,6.5,0.19,6.56,0.0
193,,1335,52824,343,15.950049,41.51975,0.08475,0.14,24.39,0.0,0.0,66.27,200,0.95,3.22,10.35,1.76,6.08,0.001380382324630963,2.592428611262664,530159931.34165466,-0.8437607,-11.26441,6.08,6.72,5.33,5.83,6.08
194,,1177,52824,524,21.706001999999998,-6.73145,0.19487000000000002,0.3031,25.49,0.0,0.0,21.43,210,1.03,3.09,11.57,1.82,6.81,0.0005888442760205689,8.2432341256977,870210975.7176459,-0.11504289999999999,-11.73676,6.81,7.93,5.1,6.58,6.81
